address,balance
0x959e2a4db1fA5d56B810759f2E6D80a01Eb9E892,533924166625
0xd800aEcde1dF53640aE1FC1EC48CCD3539f9AdFd,-274265146
0xfa22ef75034825a82493336720E456F7aF3ad0Fa,815003595666
0x70079C960CF8B18C692Acb8A4AAe3D6827617DF6,-5213105597
0xFC3eB693cD1237a0633422FaB1927858B0A75D0a,-42292568221
0xED7db67be2171E4Af701caE7BD2C2869B534108B,-11939585676
0xE66d55Cf5a621eDFf9374aA4865eB9f06A339C56,10080440268022
0xDc7BC28EacA02BAE02259DAdB1e8bfb279107e81,-98181080375
0xb6C23c2b69cE0a7641a3CA7355D4BAa8805ae310,-58183674978
0xc6438A541636033E9937642742aF14a6238fec5A,-1848648260
0x76e6e2E9Ca0ee9a2BB4148566791FD6F2fEeAc32,-25438183720
0x097A5DF71b3ada5936FECEDc6D7579E97d6e48a0,12420513671841
0x81eb02e061E5ffaeD35CF8B9c43e05bd183DBb37,-1407633747
0x9C3ABFD8d827AD1907c4367a450f3235A2DBdc9c,2230801431310
0x5F75C372DbF1476dB53324b371fa9E95772f0f42,-160423016810
0xc335C1CDC36b1AF70242A88d7f13Ea8D6a0d7C8c,5358963655285
0xF75d04B75fdd4f6E7Cacb60Dc6CEF401A82Fc2b5,13565752490692
0xD0453C1Cc9b69a106bB86bd0b8B784057632Db0C,2016088053601
0x2cF4F10C7b7972AF66ba7C6869a342DF3676Bf52,-5705073957
0x483D65B84c3Ba64bde6e04cb04198EA60C7F88A2,201298292808
0x37A8c225b839E109357dD20F6C7E34909fA06533,-41893861524
0x87D00EbFD95f8953cB76F8E3f15B5Be188401c92,-87935895575
0x2FF2c6B09dA200b3Af5dee6D1C2656210B203f1D,-16594573300
0x8dDe69ec2639611DEcFA0ffe50435216cD886A69,-30331155743
0xea74E048cCEcd7ADE98491Fe9683a686BeE73aEc,877401520926
0x29cb104d28915e89981dfa7A437CCbCDdDD9D4Bb,67964354592122
0x0E8C800661676119c23b1F198613cDd6B0219a89,-12938101792
0xC33e4E525026e02CF8b96c77767a9a23599c5Ea6,-113817630701
0x182ae918456CEa8Ce6e0381E92CE5b708ADbef0E,-66381393890
0x99859448e4f87F2F8c6e21a9D7df55F655dC180c,4142438761472
0x56af06B9DE44164A9Aa1971b57FF5d3ddfc3e9b6,7866977193969
0x3FB146D3392FcC4FF7fCFE1B87fbAC4b67645284,61994707646
0x8136f7f36DBDAde77dC5664B67f625D46A100374,229867049392875
0xb9fC282A67Cfd89Fc1B8aE7d2327FAd0021aFFFb,-13268328899
0xff5A9C561F3E66fD1c234f7BDA763360f01c3f19,7509927999676
0xa81311e56630a9A21901415671A489A9985AC00E,2203102397542
0xAa869adcf9353759a62C1134Be1DA4b88a9ED31f,-196763848
0x42F24b1700aCEd807EEEEdfEE587e7b5C4249421,252011006697
